symbol,date added
IRM,1/6/2009
ISRG,6/2/2008
IT,4/5/2017
ITW,2/28/1986
IVZ,8/21/2008
J,10/26/2007
JBHT,7/1/2015
JCI,8/27/2010
JKHY,11/13/2018
JNJ,6/30/1973
JNPR,
JPM,6/30/1975
JWN,8/31/1986
K,
KDP,6/21/2022
KEY,3/1/1994
KEYS,11/6/2018
KHC,7/6/2015
KIM,4/4/2006
KLAC,
KMB,
KMI,5/25/2012
KMX,6/28/2010
KO,
KR,
KSS,
KSU,5/24/2013
L,
LB,9/30/1983
LDOS,8/9/2019
LEG,
LEN,10/4/2005
LH,11/1/2004
LHX,
LIN,7/1/1992
LKQ,5/23/2016
LLY,12/31/1970
LMT,7/31/1984
LNC,6/30/1976
LNT,7/1/2016
LOW,2/29/1984
LRCX,6/29/2012
LUV,7/1/1994
LVS,10/3/2019
LW,12/3/2018
LYB,9/5/2012
LYV,12/23/2019
M,
MA,7/18/2008
MAA,12/2/2016
MAR,
MAS,6/30/1981
MCD,6/30/1970
MCHP,9/7/2007
MCK,
MCO,
MDLZ,10/2/2012
MDT,10/31/1986
MET,
MGM,7/26/2017
MHK,12/23/2013
MKC,
MKTX,7/1/2019
MLM,7/2/2014
MMC,8/31/1987
MMM,1/1/1900
MNST,6/28/2012
MO,
MOH,3/2/2022
MOS,9/26/2011
MPC,7/1/2011
MPWR,2/12/2021
MRK,
MRNA,7/21/2021
MRO,5/1/1991
MS,
MSCI,4/4/2018
MSFT,6/1/1994
MSI,
MTB,
MTCH,9/20/2021
MTD,9/6/2016
MU,9/27/1994
MXIM,12/3/2018
MYL,4/23/2004
NBL,10/8/2007
NCLH,10/13/2017
NDAQ,10/22/2008
NDSN,2/15/2022
NEE,6/30/1976
NEM,6/30/1969
NFLX,12/20/2010
NI,
NKE,11/30/1988
NLOK,3/25/2003
NLSN,7/9/2013
NOC,6/30/1985
NOV,3/14/2005
NOW,11/21/2019
NRG,1/29/2010
NSC,
NTAP,6/25/1999
NTRS,
NUE,4/30/1985
NVDA,11/30/2001
NVR,9/26/2019
NWL,4/30/1989
NWS,9/18/2015
NWSA,8/1/2013
NXPI,3/22/2021
O,4/7/2015
ODFL,12/9/2019
OGN,6/3/2021
OKE,3/15/2010
OMC,
ON,6/21/2022
ORCL,8/31/1989
ORLY,3/27/2009
OTIS,4/3/2020
OXY,12/31/1982
PAYC,1/28/2020
PAYX,
PBCT,11/13/2008
PCAR,12/31/1980
PCG,10/3/2022
PEAK,3/31/2008
PEG,
PENN,3/22/2021
PEP,
PFE,
PFG,7/22/2002
PG,
PGR,8/4/1997
PH,11/30/1985
PHM,4/30/1984
PKG,7/26/2017
PKI,5/31/1985
PLD,7/17/2003
PM,3/31/2008
PNC,4/30/1988
PNR,10/1/2012
PNW,
POOL,10/7/2020
PPG,
PPL,
PRGO,12/19/2011
PRU,7/22/2002
PSA,8/19/2005
PSX,5/1/2012
PTC,4/20/2021
PVH,2/15/2013
PWR,7/1/2009
PXD,9/24/2008
PYPL,7/20/2015
QCOM,
QRVO,6/11/2015
RCL,12/5/2014
RE,6/19/2017
REG,3/2/2017
REGN,5/1/2013
RF,8/28/1998
RHI,12/5/2000
RJF,3/20/2017
RL,2/2/2007
RMD,7/26/2017
ROK,
ROL,10/1/2018
ROP,12/23/2009
ROST,12/21/2009
RSG,12/5/2008
RTN,
SBAC,9/1/2017
SBNY,12/20/2021
SBNY,12/20/2021
SBUX,
SCHW,6/2/1997
SEDG,12/20/2021
SEE,
SHW,6/30/1964
SIVB,3/19/2018
SJM,11/6/2008
SLB,3/31/1965
SLG,3/20/2015
SNA,9/30/1982
SNPS,3/16/2017
SO,
SPG,6/26/2002
SPGI,
SRE,
STE,12/23/2019
STLD,12/22/2022
STT,
STX,7/2/2012
STZ,7/1/2005
SWK,9/30/1982
SWKS,3/12/2015
SYF,11/18/2015
SYK,12/12/2000
SYY,12/31/1986
T,11/30/1983
TAP,6/30/1976
TDG,6/3/2016
TDY,6/22/2020
TECH,8/30/2021
TEL,10/17/2011
TER,9/21/2020
TFC,12/4/1997
TFX,1/18/2019
TGT,12/31/1976
TIF,6/21/2000
TJX,9/30/1985
TMO,
TMUS,7/15/2019
TPR,
TRGP,10/12/2022
TRMB,1/21/2021
TROW,
TRV,8/21/2002
TSCO,1/24/2014
TSLA,12/21/2020
TSN,
TTWO,3/19/2018
TWTR,6/7/2018
TXN,
TXT,12/31/1978
TYL,6/22/2020
UA,5/1/2014
UAA,3/25/2016
UAL,9/3/2015
UDR,3/7/2016
UHS,9/20/2014
ULTA,4/18/2016
UNH,7/1/1994
UNM,3/1/1994
UNP,
UPS,7/22/2002
URI,9/20/2014
USB,
UTX,
V,12/21/2009
VAR,2/12/2007
VFC,6/30/1979
VIAC,
VICI,6/8/2022
VLO,
VMC,6/30/1999
VNO,
VNT,10/8/2020
VRSK,10/8/2015
VRSN,2/1/2006
VRTX,9/23/2013
VTR,3/4/2009
VZ,11/30/1983
WAB,2/27/2019
WAT,
WBA,12/31/1979
WCG,1985
WDC,7/1/2009
WEC,10/31/2008
WELL,1/30/2009
WFC,6/30/1976
WHR,
WLTW,1/5/2016
WM,
WMB,3/31/1975
WMT,8/31/1982
WRB,12/5/2019
WRK,
WST,5/22/2020
WU,
WY,
WYNN,11/14/2008
XEC,6/21/2014
XEL,
XLNX,11/8/1999
XOM,
XRAY,11/14/2008
XRX,
XYL,11/1/2011
YUM,10/6/1997
ZBH,8/7/2001
ZBRA,12/23/2019
ZION,6/22/2001
ZTS,6/21/2013
